"rotulo","desfecho","UF","sigla","u0","u1_negro","gap_log","OR_uf"
"ocp_qualif_PUBLICO","ocp_qualif","25","PB",0.159593411961563,0.0619436663196789,-0.28698589487733,0.750522314971727
"ocp_qualif_PUBLICO","ocp_qualif","26","PE",0.212507020101103,0.08747019226503,-0.261459368931979,0.769927157751537
"ocp_qualif_PUBLICO","ocp_qualif","27","AL",-0.113712203474681,0.121221833994373,-0.227707727202636,0.796356979307054
"ocp_qualif_PUBLICO","ocp_qualif","28","SE",0.158433568435501,0.0155985157206744,-0.333331045476335,0.716532949896838
"ocp_qualif_PUBLICO","ocp_qualif","29","BA",0.153512075016431,0.0281565886791359,-0.320772972517873,0.725587960700398
"ocp_qualif_PUBLICO","ocp_qualif","31","MG",-0.0702095986374207,-0.0826178437583269,-0.431547404955336,0.64950327213478
"ocp_qualif_PUBLICO","ocp_qualif","32","ES",0.0471518289592321,-0.150641512332225,-0.499571073529234,0.606790872570017
"ocp_qualif_PUBLICO","ocp_qualif","33","RJ",-0.280610464055472,-0.141931242635554,-0.490860803832563,0.612099269944205
"ocp_qualif_PUBLICO","ocp_qualif","35","SP",-0.297629217063605,-0.0205650689616131,-0.369494630158622,0.691083495157641
"ocp_qualif_PUBLICO","ocp_qualif","41","PR",-0.145633347062941,-0.129910283497666,-0.478839844694675,0.619501693231029
"ocp_qualif_PUBLICO","ocp_qualif","42","SC",-0.244188312035776,-0.127920038325447,-0.476849599522457,0.62073588124614
"ocp_qualif_PUBLICO","ocp_qualif","43","RS",-0.318643918569328,-0.131818997887548,-0.480748559084557,0.618320369198342
"ocp_qualif_PUBLICO","ocp_qualif","50","MS",-0.359288473839275,-0.0672091374991419,-0.416138698696151,0.659588780035946
"ocp_qualif_PUBLICO","ocp_qualif","51","MT",-0.237395799180842,-0.141925633230921,-0.49085519442793,0.612102703466316
"ocp_qualif_PUBLICO","ocp_qualif","52","GO",-0.189923774514594,0.0557311515101563,-0.293198409686853,0.745874137361034
"ocp_qualif_PUBLICO","ocp_qualif","53","DF",-0.355568375411894,0.0689788976231773,-0.279950663573832,0.75582103004432
